Achalpur,Grocery,Tier 3,788403
Achalpur,Bills,Tier 3,624645
Achalpur,Fuel,Tier 3,138246
Achalpur,Entertainment,Tier 3,55347
Adilabad,Bills,Tier 3,868039
Adilabad,Grocery,Tier 3,534570
Adilabad,Entertainment,Tier 3,286662
Adilabad,Food,Tier 3,80193
Adityapur,Food,Tier 3,296944
Adityapur,Fuel,Tier 3,260118
Adityapur,Entertainment,Tier 3,226592
Adityapur,Grocery,Tier 3,180339
Adoni,Bills,Tier 3,634273
Adoni,Fuel,Tier 3,438677
Adoni,Grocery,Tier 3,265682
Adoni,Food,Tier 3,119762
Adoni,Entertainment,Tier 3,116961
Adoor,Fuel,Tier 3,552070
Adoor,Food,Tier 3,80175
Adoor,Entertainment,Tier 3,8944
Adoor,Bills,Tier 3,6536
Afzalpur,Fuel,Tier 3,264403
Afzalpur,Bills,Tier 3,196878
Afzalpur,Entertainment,Tier 3,183142
Afzalpur,Grocery,Tier 3,156617
Afzalpur,Food,Tier 3,63770
Agartala,Grocery,Tier 3,315857
Agartala,Entertainment,Tier 3,288868
Agartala,Food,Tier 3,31837
Agra,Bills,Tier 3,156141
Agra,Grocery,Tier 3,129754
Ahmedabad,Bills,Tier 1,141289703
Ahmedabad,Food,Tier 1,117466659
Ahmedabad,Fuel,Tier 1,116499993
Ahmedabad,Entertainment,Tier 1,97502266
Ahmedabad,Grocery,Tier 1,95035689
Ahmednagar,Fuel,Tier 3,181093
Ahmednagar,Entertainment,Tier 3,140295
Ahmednagar,Grocery,Tier 3,53901
Aizawl,Food,Tier 3,419614
Aizawl,Fuel,Tier 3,241529
Aizawl,Entertainment,Tier 3,219299
Aizawl,Grocery,Tier 3,178869
Ajmer,Entertainment,Tier 3,245278
Ajmer,Bills,Tier 3,210185
Ajmer,Fuel,Tier 3,5034
Akola,Bills,Tier 3,559821
Akola,Grocery,Tier 3,322638
Akola,Food,Tier 3,321030
Akola,Entertainment,Tier 3,294042
Akola,Fuel,Tier 3,57038
Akot,Fuel,Tier 3,301132
Akot,Food,Tier 3,152677
Akot,Grocery,Tier 3,42271
Akot,Entertainment,Tier 3,24374
Alappuzha,Food,Tier 3,295341
Alappuzha,Fuel,Tier 3,211975
Alappuzha,Grocery,Tier 3,200448
Alappuzha,Bills,Tier 3,64030
Alappuzha,Entertainment,Tier 3,20920
Aligarh,Bills,Tier 3,651786
Aligarh,Fuel,Tier 3,317084
Aligarh,Food,Tier 3,250934
Aligarh,Entertainment,Tier 3,141504
Alipurduar,Food,Tier 3,647846
Alipurduar,Fuel,Tier 3,230489
Alipurduar,Bills,Tier 3,192358
Alipurduar,Entertainment,Tier 3,100013
Alirajpur,Entertainment,Tier 3,166684
Allahabad,Grocery,Tier 3,589655
Allahabad,Entertainment,Tier 3,164369
Allahabad,Fuel,Tier 3,80107
Allahabad,Bills,Tier 3,75904
Alwar,Food,Tier 3,285142
Alwar,Fuel,Tier 3,281388
Alwar,Entertainment,Tier 3,223936
Amalapuram,Grocery,Tier 3,750028
Amalapuram,Bills,Tier 3,236438
Amalapuram,Entertainment,Tier 3,98532
Amalapuram,Fuel,Tier 3,72099
Amalner,Entertainment,Tier 3,280729
Amalner,Bills,Tier 3,235521
Amalner,Food,Tier 3,210950
Ambejogai,Food,Tier 3,552814
Ambejogai,Bills,Tier 3,288320
Ambejogai,Entertainment,Tier 3,156433
Ambejogai,Grocery,Tier 3,4348
Ambikapur,Bills,Tier 3,276978
Ambikapur,Fuel,Tier 3,206776
Ambikapur,Entertainment,Tier 3,165574
Ambikapur,Food,Tier 3,104234
Amravati,Bills,Tier 3,456902
Amravati,Entertainment,Tier 3,442107
Amravati,Grocery,Tier 3,150149
Amravati,Food,Tier 3,67209
Amreli,Food,Tier 3,418642
Amreli,Entertainment,Tier 3,243021
Amreli,Fuel,Tier 3,68138
Amreli,Grocery,Tier 3,48892
Amritsar,Fuel,Tier 3,296789
Amritsar,Food,Tier 3,101473
Amritsar,Grocery,Tier 3,78037
Amritsar,Bills,Tier 3,11130
Amroha,Fuel,Tier 3,405438
Amroha,Grocery,Tier 3,296502
Amroha,Food,Tier 3,129305
Anakapalle,Fuel,Tier 3,259499
Anakapalle,Grocery,Tier 3,232618
Anakapalle,Bills,Tier 3,66672
Anand,Fuel,Tier 3,251317
Anand,Grocery,Tier 3,172712
Anand,Bills,Tier 3,172489
Anantapur,Food,Tier 3,544498
Anantapur,Fuel,Tier 3,228790
Anantapur,Grocery,Tier 3,15762
Anantnag,Grocery,Tier 3,231604
Anantnag,Food,Tier 3,204877
Anantnag,Entertainment,Tier 3,73291
Anjangaon,Food,Tier 3,531512
Anjangaon,Entertainment,Tier 3,269444
Anjangaon,Fuel,Tier 3,230484
Anjangaon,Bills,Tier 3,195839
Anjar,Food,Tier 3,207628
Anjar,Grocery,Tier 3,179660
Ankleshwar,Grocery,Tier 3,342689
Ankleshwar,Fuel,Tier 3,254421
Ankleshwar,Bills,Tier 3,87920
Arakkonam,Grocery,Tier 3,289720
Arakkonam,Bills,Tier 3,235338
Arakkonam,Entertainment,Tier 3,96000
Arakkonam,Food,Tier 3,18789
Arambagh,Food,Tier 3,885392
Arambagh,Fuel,Tier 3,326778
Arambagh,Grocery,Tier 3,153655
Arambagh,Entertainment,Tier 3,81387
Araria,Entertainment,Tier 3,261126
Araria,Food,Tier 3,243630
Araria,Bills,Tier 3,220102
Araria,Grocery,Tier 3,92842
Araria,Fuel,Tier 3,1543
Arrah,Food,Tier 3,428061
Arrah,Entertainment,Tier 3,62392
Arsikere,Food,Tier 3,548865
Arsikere,Fuel,Tier 3,533670
Arsikere,Bills,Tier 3,340363
Arsikere,Grocery,Tier 3,27358
Arsikere,Entertainment,Tier 3,17706
Aruppukkottai,Entertainment,Tier 3,493020
Aruppukkottai,Fuel,Tier 3,341483
Arvi,Entertainment,Tier 3,414579
Arvi,Bills,Tier 3,330679
Arvi,Food,Tier 3,82377
Arwal,Grocery,Tier 3,290949
Arwal,Fuel,Tier 3,211109
Arwal,Bills,Tier 3,81451
Asansol,Fuel,Tier 3,447113
Asansol,Bills,Tier 3,270715
Asansol,Grocery,Tier 3,229834
Asansol,Entertainment,Tier 3,154365
Ashok Nagar,Grocery,Tier 3,483249
Ashok Nagar,Bills,Tier 3,347742
Ashok Nagar,Entertainment,Tier 3,282080
Ashok Nagar,Fuel,Tier 3,208606
Ashok Nagar,Food,Tier 3,161925
Athni,Entertainment,Tier 3,576758
Athni,Bills,Tier 3,244066
Athni,Fuel,Tier 3,131124
Attingal,Fuel,Tier 3,91665
Attingal,Bills,Tier 3,26601
Attingal,Food,Tier 3,22164
Aurangabad,Entertainment,Tier 3,629938
Aurangabad,Grocery,Tier 3,447686
Aurangabad,Bills,Tier 3,385585
Aurangabad,Food,Tier 3,242143
Aurangabad,Fuel,Tier 3,241884
Azamgarh,Entertainment,Tier 3,71855
Azamgarh,Fuel,Tier 3,30349
Bagaha,Entertainment,Tier 3,224207
Bahadurgarh,Food,Tier 3,308414
Bahadurgarh,Grocery,Tier 3,204794
Bahadurgarh,Entertainment,Tier 3,102830
Bahadurgarh,Bills,Tier 3,64787
Baharampur,Food,Tier 3,487652
Baharampur,Fuel,Tier 3,253458
Baharampur,Grocery,Tier 3,238342
Baharampur,Bills,Tier 3,89636
Bahraich,Fuel,Tier 3,23010
Bahraich,Food,Tier 3,1243
Balaghat,Fuel,Tier 3,283975
Balaghat,Bills,Tier 3,262977
Balaghat,Entertainment,Tier 3,116077
Balaghat,Grocery,Tier 3,107080
Balangir,Food,Tier 3,236346
Balangir,Grocery,Tier 3,161224
Balangir,Entertainment,Tier 3,33358
Baleshwar Town,Bills,Tier 3,442744
Baleshwar Town,Grocery,Tier 3,281441
Baleshwar Town,Food,Tier 3,169680
Baleshwar Town,Fuel,Tier 3,110858
Ballari,Fuel,Tier 3,453723
Ballari,Food,Tier 3,275415
Ballari,Bills,Tier 3,125105
Ballari,Grocery,Tier 3,105356
Balurghat,Food,Tier 3,293207
Balurghat,Entertainment,Tier 3,243800
Balurghat,Bills,Tier 3,90514
Bankura,Bills,Tier 3,319130
Bankura,Grocery,Tier 3,286632
Bankura,Food,Tier 3,228038
Bankura,Entertainment,Tier 3,28014
Bapatla,Food,Tier 3,153626
Bapatla,Grocery,Tier 3,88041
Baramula,Grocery,Tier 3,577235
Baramula,Fuel,Tier 3,527241
Baramula,Entertainment,Tier 3,259311
Baramula,Food,Tier 3,258551
Baramula,Bills,Tier 3,170596
Barbil,Grocery,Tier 3,474270
Barbil,Fuel,Tier 3,337040
Barbil,Entertainment,Tier 3,313307
