Achalpur,Grocery,788403,4,197100.00
Achalpur,Bills,624645,3,208215.00
Achalpur,Fuel,138246,1,138246.00
Achalpur,Entertainment,55347,1,55347.00
Adilabad,Bills,868039,4,217009.00
Adilabad,Grocery,534570,3,178190.00
Adilabad,Entertainment,286662,2,143331.00
Adilabad,Food,80193,1,80193.00
Adityapur,Food,296944,1,296944.00
Adityapur,Fuel,260118,2,130059.00
Adityapur,Entertainment,226592,1,226592.00
Adityapur,Grocery,180339,2,90169.00
Adoni,Bills,634273,3,211424.00
Adoni,Fuel,438677,2,219338.00
Adoni,Grocery,265682,2,132841.00
Adoni,Food,119762,1,119762.00
Adoni,Entertainment,116961,1,116961.00
Adoor,Fuel,552070,3,184023.00
Adoor,Food,80175,2,40087.00
Adoor,Entertainment,8944,1,8944.00
Adoor,Bills,6536,1,6536.00
Afzalpur,Fuel,264403,2,132201.00
Afzalpur,Bills,196878,2,98439.00
Afzalpur,Entertainment,183142,3,61047.00
Afzalpur,Grocery,156617,1,156617.00
Afzalpur,Food,63770,2,31885.00
Agartala,Grocery,315857,2,157928.00
Agartala,Entertainment,288868,1,288868.00
Agartala,Food,31837,1,31837.00
Agra,Bills,156141,1,156141.00
Agra,Grocery,129754,1,129754.00
Ahmedabad,Bills,141289703,680,207778.00
Ahmedabad,Food,117466659,801,146650.00
Ahmedabad,Fuel,116499993,760,153289.00
Ahmedabad,Entertainment,97502266,622,156756.00
Ahmedabad,Grocery,95035689,628,151330.00
Ahmednagar,Fuel,181093,1,181093.00
Ahmednagar,Entertainment,140295,1,140295.00
Ahmednagar,Grocery,53901,1,53901.00
Aizawl,Food,419614,2,209807.00
Aizawl,Fuel,241529,1,241529.00
Aizawl,Entertainment,219299,1,219299.00
Aizawl,Grocery,178869,1,178869.00
Ajmer,Entertainment,245278,1,245278.00
Ajmer,Bills,210185,2,105092.00
Ajmer,Fuel,5034,1,5034.00
Akola,Bills,559821,4,139955.00
Akola,Grocery,322638,2,161319.00
Akola,Food,321030,2,160515.00
Akola,Entertainment,294042,2,147021.00
Akola,Fuel,57038,1,57038.00
Akot,Fuel,301132,2,150566.00
Akot,Food,152677,1,152677.00
Akot,Grocery,42271,1,42271.00
Akot,Entertainment,24374,1,24374.00
Alappuzha,Food,295341,1,295341.00
